PERIOD,NAIROBI INDEX,REST* OF URBAN TOWNS INDEX,OVERALL KENYA INDEX,OVERALL MONTH ON MONTH INFLATION RATE***,UNDERLYING INFLATION RATE****
2005,,,,,
October,177.28,181.53,179.83,3.7,5.7
November,180.64,182.83,181.96,6.0,5.8
December,184.17,185.85,185.18,7.6,6.0
2006,,,,,
January,209.64,195.69,201.25,15.4,5.5
February,219.61,202.5,209.33,18.9,4.4
March,220.00,208.03,212.80,19.1,5.3
April,214.88,207.91,210.69,14.9,5.0
May,209.42,208.08,208.62,13.1,4.7
June,200.74,203.57,202.45,10.9,5.3
July,197.74,200.70,199.52,10.1,5.5
August,200.85,201.00,200.94,11.5,6.0
September,205.76,203.19,204.22,13.8,5.7
October,210.73,206.24,208.04,15.7,6.0
November,209.23,208.18,208.60,14.6,5.9
December,215.46,213.12,214.05,15.6,5.9
