PERIOD,NAIROBI INDEX,REST* OF URBAN TOWNS INDEX,OVERALL KENYA INDEX,Base Oct.OVERALL MONTH ON MONTH INFLATION,Base Oct.UNDERLYING INFLATION RATE****
2008,,,,RATE***,
March,277.61,274.40,274.55,21.8,6.4
April,282.38,281.55,281.88,26.6,6.7
May,293.43,290.69,291.79,31.5,7.1
June,287.09,293.17,290.75,29.3,7.6
July,285.15,287.60,286.62,26.5,8.1
August,286.94,288.80,288.06,27.6,8.8
September,293.65,291.86,292.57,28.2,9.5
October,297.15,294.20,295.38,28.4,10.2
November,302.93,301.04,301.79,29.4,10.7
December,308.18,305.01,306.28,27.7,11.1
2009,,,,,
January,328.18,283.44,318.02,21.9,11.1
February,345.09,325.31,333.21,25.1,11.0
March,362.65,334.06,345.33,25.8,7.7
