Group,NAIROBI LOWER INCOME,NAIROBI MIDDLE INCOME,NAIROBI UPPER INCOME,NAIROBI COMBINED,PROVINCES EXCEPT NAIROBI,KENYA CPI
Dec-09,104.59,102.71,104.26,104.69,104.64,104.66
Jan-10,105.60,102.93,105.51,104.95,104.84,104.89
Feb-10,106.16,102.95,105.56,105.36,105.05,105.18
Mar-10,105.78,103.34,106.23,105.21,104.80,104.97
Apr-10,106.38,103.52,106.32,105.69,105.48,105.56
May-10,106.85,103.39,107.30,106.03,105.62,105.79
Jun-10,106.67,103.09,107.39,105.84,105.45,105.61
Jul-10,107.61,103.34,107.62,106.58,105.56,105.98
Aug-10,108.11,103.39,107.07,106.93,105.78,106.25
Sep-10,108.73,103.70,107.67,107.48,106.22,106.74
Oct-10,108.38,103.97,108.89,107.30,106.74,106.97
Nov-10,108.80,104.65,109.24,107.81,107.90,107.86
Dec-10,110.33,103.83,109.09,109.04,109.62,109.38
