Group,NAIROBI.LOWER INCOME,NAIROBI.MIDDLE INCOME,NAIROBI.UPPER INCOME,NAIROBI.COMBINED,PROVINCES.EXCEPT NAIROBI,KENYA.CPI
Nov-12,135.14,123.36,125.51,131.94,134.31,133.33
Dec-12,136.49,123.51,125.46,132.94,135.17,134.25
Jan-13,138.55,125.13,126.64,134.86,136.15,135.62
Feb-13,139.72,125.79,126.91,135.88,137.08,136.59
Mar-13,141.17,126.89,127.77,137.22,138.48,137.96
Apr-13,142.91,127.57,127.88,138.64,139.72,139.28
May-13,142.84,127.08,127.25,138.45,140.27,139.52
June-13,142.68,126.80,126.93,138.26,140.53,139.59
July-13,142.94,127.56,127.09,138.63,140.73,139.87
Aug-13,142.82,127.61,127.72,138.58,141.49,140.29
Sep-13,146.54,131.11,132.57,142.29,143.19,142.82
Oct-13,146.18,130.91,132.47,141.98,143.28,142.75
Nov-13,146.29,130.66,132.40,142.00,143.94,143.14
Dec-13,146.93,130.88,132.51,142.51,144.79,143.85
Jan-14,148.47,131.93,134.11,143.94,146.42,145.40
