Group.,Nairobi.Lower Income,Nairobi.Middle Income,Nairobi.Upper Income,Nairobi Combined,Rest of Urban Areas,Kenya CPI
2015,,,,,,
January,155.65,136.19,136.86,150.24,155.67,153.43
February,156.51,136.25,136.66,150.87,156.42,154.14
March,158.81,137.09,137.07,152.75,158.04,155.86
April,161.85,137.74,137.67,155.12,161.2,158.7
May,162.09,138.95,138.93,155.63,163.03,159.98
June,162.47,140.7,139.25,156.34,163.34,160.46
July,162.74,141.17,141.35,156.72,163.26,160.57
August,162.78,141.66,143.53,156.96,163.66,160.9
September,163.13,142.04,143.35,157.3,164.15,161.33
October,164.26,141.93,143.05,158.07,164.98,162.13
November,166.02,141.75,142.7,159.29,165.55,162.97
December,167.48,145.22,143.34,161.2,167.18,164.72
2016,,,,,,
January,167.60,144.24,144.30,161.09,168.36,165.37
February,167.38,143.39,144.19,160.72,168.11,165.06
March,169.19,143.78,144.21,162.12,168.58,165.92
April,170.86,143.97,145.61,163.42,169.62,167.07
May,171.89,144.59,145.93,164.32,170.55,167.99
June,174.08,145.59,146.21,166.15,172.29,169.76
July,174.51,146.18,146.94,166.64,173.78,170.84
August,174.40,146.76,148.33,166.75,173.92,170.97
September,174.60,147.19,148.71,167.01,174.74,171.56
October,176.05,147.22,148.68,168.06,175.82,172.62
November,177.67,147.61,149.23,169.35,177.01,173.85
December,178.10,148.37,149.68,169.85,178.91,175.18
2017,,,,,,
January,179.78,150.25,150.19,171.54,180.70,176.93
February,183.80,151.94,150.99,174.88,183.55,179.98
