Group,Nairobi.Lower Income,Nairobi.Middle Income,Nairobi.Upper Income,Nairobi Combined,Rest of Urban Areas,Kenya CPI
2019,,,,,,
January......,197.09,168.04,166.21,188.91,197.87,194.18
February....,199.65,168.68,165.89,190.90,199.19,195.78
March.........,204.40,170.25,167.16,194.75,201.83,198.91
April............,213.25,173.05,168.84,201.87,208.73,205.90
May............,211.34,172.81,168.62,200.43,209.51,205.77
June............,209.87,172.82,168.82,199.38,207.82,204.34
July.............,209.49,172.86,172.86,199.27,206.65,203.61
August.........,206.77,171.90,172.59,197.07,205.09,201.78
September..,206.40,171.96,172.66,196.81,204.90,201.57
October.......,207.20,172.21,172.40,197.44,205.40,202.12
November...,208.03,172.85,172.70,198.21,206.25,202.94
December...,210.84,174.43,175.65,200.73,207.60,204.77
2020,,,,,,
January......,211.07,175.33,175.78,201.12,208.41,205.40
February....,215.31,176.29,177.02,204.45,210.89,208.24
