Group.,Nairobi.Lower Income,Nairobi.Middle Income,Nairobi.Upper Income,Nairobi Combined,Rest of Urban Areas,Kenya CPI
2020,,,,,,
January......,107.50,102.99,102.65,105.48,107.25,106.51
February....,108.36,103.34,103.41,106.16,107.89,107.17
March.........,108.85,103.52,103.42,106.50,108.17,107.47
April............,109.88,104.04,103.69,107.27,109.36,108.49
May............,109.93,103.74,104.00,107.24,109.57,108.60
June............,109.70,104.14,103.84,107.22,109.01,108.27
July.............,110.01,103.37,103.79,107.14,109.22,108.35
August.........,109.90,103.49,104.55,107.21,109.54,108.57
September..,110.04,103.63,104.26,107.30,109.48,108.57
October.......,110.40,104.42,104.60,107.79,110.89,109.60
November...,111.31,104.76,104.59,108.41,112.46,110.78
December...,113.06,105.65,105.10,109.74,113.38,111.87
2021,,,,,,
January......,113.63,106.20,105.63,110.30,114.20,112.58
