Period/Group.Period/Group,Base : February 2019=100.Nairobi.Lower Income,Base : February 2019=100.Nairobi.Middle Income,Base : February 2019=100.Nairobi.Upper Income,Base : February 2019=100.Nairobi.Nairobi Combined,Base : February 2019=100.Rest of.Urban Areas,Base : February 2019=100.Kenya.CPI
2024,,,,,,
January,139.19,126.94,125.97,133.69,141.33,138.15
February,139.47,127.41,126.39,134.05,141.39,138.34
March,139.95,127.48,126.58,134.37,141.72,138.66
April,139.59,127.21,126.35,134.05,141.50,138.40
May,141.02,127.96,126.96,135.17,142.82,139.64
June,141.50,128.59,127.14,135.65,143.48,140.23
July,141.05,128.35,127.09,135.32,143.22,139.94
August,141.15,128.66,127.00,135.47,143.00,139.87
September,141.34,129.12,127.47,135.77,143.24,140.13
October,141.48,129.86,127.75,136.12,143.50,140.44
November,141.89,130.37,128.09,136.56,143.83,140.81
December,143.26,130.83,128.47,137.52,144.60,141.66
2025,,,,,,
January,144.55,131.79,128.96,138.62,145.58,142.68
February,144.89,132.42,129.76,139.10,145.97,143.12
March,145.42,132.86,130.44,139.62,146.58,143.69
April,145.67,133.23,130.72,139.91,147.06,144.09
May,146.15,134.57,131.19,140.66,147.87,144.88
June,146.99,135.18,131.71,141.39,148.56,145.58
July,147.22,135.53,132.63,141.74,148.59,145.74
August,147.91,135.67,132.90,142.21,149.06,146.21
September,148.12,136.07,133.20,142.49,149.45,146.56
October,148.43,136.27,133.58,142.77,149.74,146.84
November,148.56,136.57,134.18,143.01,149.98,147.08
December,149.85,137.65,135.56,144.25,150.70,148.02
